Date,Hour,Floor,User-Group,User-Count,WiFi-Conn
2020-06-01,04,All-Floors,Non-HKUST,0,0
2020-06-01,04,All-Floors,Others(HKUST),3,14
2020-06-01,04,All-Floors,RPG,0,0
2020-06-01,04,All-Floors,Staff,6,13
2020-06-01,04,All-Floors,TPG,0,0
2020-06-01,04,All-Floors,Total,10,28
2020-06-01,04,All-Floors,UG,1,1
2020-06-01,04,G,Alumni,0,0
2020-06-01,04,G,Non-HKUST,0,0
2020-06-01,04,G,Others(HKUST),1,2
2020-06-01,04,G,RPG,0,0
2020-06-01,04,G,Staff,2,4
2020-06-01,04,G,TPG,0,0
2020-06-01,04,G,Total,3,6
2020-06-01,04,G,UG,0,0
2020-06-01,04,LG1,Alumni,0,0
2020-06-01,04,LG1,Non-HKUST,0,0
2020-06-01,04,LG1,Others(HKUST),1,8
2020-06-01,04,LG1,RPG,0,0
2020-06-01,04,LG1,Staff,0,0
2020-06-01,04,LG1,TPG,0,0
2020-06-01,04,LG1,Total,1,8
2020-06-01,04,LG1,UG,0,0
2020-06-01,04,LG3,Alumni,0,0
2020-06-01,04,LG3,Non-HKUST,0,0
2020-06-01,04,LG3,Others(HKUST),0,0
2020-06-01,04,LG3,RPG,0,0
2020-06-01,04,LG3,Staff,0,0
2020-06-01,04,LG3,TPG,0,0
2020-06-01,04,LG3,Total,0,0
2020-06-01,04,LG3,UG,0,0
2020-06-01,04,LG4,Alumni,0,0
2020-06-01,04,LG4,Non-HKUST,0,0
2020-06-01,04,LG4,Others(HKUST),1,2
2020-06-01,04,LG4,RPG,0,0
2020-06-01,04,LG4,Staff,0,0
2020-06-01,04,LG4,TPG,0,0
2020-06-01,04,LG4,Total,2,3
2020-06-01,04,LG4,UG,1,1
2020-06-01,05,1,Alumni,0,0
2020-06-01,05,1,Non-HKUST,0,0
2020-06-01,05,1,Others(HKUST),1,2
2020-06-01,05,1,RPG,0,0
2020-06-01,05,1,Staff,4,9
2020-06-01,05,1,TPG,0,0
2020-06-01,05,1,Total,5,11
2020-06-01,05,1,UG,0,0
2020-06-01,05,All-Floors,Alumni,0,0
2020-06-01,05,All-Floors,Non-HKUST,0,0
2020-06-01,05,All-Floors,Others(HKUST),3,14
2020-06-01,05,All-Floors,RPG,0,0
2020-06-01,05,All-Floors,Staff,6,13
2020-06-01,05,All-Floors,TPG,0,0
2020-06-01,05,All-Floors,Total,9,27
2020-06-01,05,All-Floors,UG,0,0
2020-06-01,05,G,Alumni,0,0
2020-06-01,05,G,Non-HKUST,0,0
2020-06-01,05,G,Others(HKUST),1,2
2020-06-01,05,G,RPG,0,0
2020-06-01,05,G,Staff,2,4
2020-06-01,05,G,TPG,0,0
2020-06-01,05,G,Total,3,6
2020-06-01,05,G,UG,0,0
2020-06-01,05,LG1,Alumni,0,0
2020-06-01,05,LG1,Non-HKUST,0,0
2020-06-01,05,LG1,Others(HKUST),1,8
2020-06-01,05,LG1,RPG,0,0
2020-06-01,05,LG1,Staff,0,0
2020-06-01,05,LG1,TPG,0,0
2020-06-01,05,LG1,Total,1,8
2020-06-01,05,LG1,UG,0,0
2020-06-01,05,LG3,Alumni,0,0
2020-06-01,05,LG3,Non-HKUST,0,0
2020-06-01,05,LG3,Others(HKUST),0,0
2020-06-01,05,LG3,RPG,0,0
2020-06-01,05,LG3,Staff,0,0
2020-06-01,05,LG3,TPG,0,0
2020-06-01,05,LG3,Total,0,0
2020-06-01,05,LG3,UG,0,0
2020-06-01,05,LG4,Alumni,0,0
2020-06-01,05,LG4,Non-HKUST,0,0
2020-06-01,05,LG4,Others(HKUST),1,2
2020-06-01,05,LG4,RPG,0,0
2020-06-01,05,LG4,Staff,0,0
2020-06-01,05,LG4,TPG,0,0
2020-06-01,05,LG4,Total,1,2
2020-06-01,05,LG4,UG,0,0
